In file: MainActivity.java
Input operator: REACHABILITY
mutation-0: 1.onLocationChanged
mutation-1: 1.onProviderEnabled
mutation-2: 1.onProviderDisabled
mutation-3: 1.onStatusChanged
mutation-4: MainActivity.onCreate
mutation-5: MainActivity.onStop
mutation-6: MainActivity.onStop
mutation-7: MainActivity.onStop
mutation-8: MainActivity.onResume
mutation-9: MainActivity.onRequestPermissionsResult
mutation-10: MainActivity.onRequestPermissionsResult
mutation-11: MainActivity.onRequestPermissionsResult
mutation-12: MainActivity.updateLocation
mutation-13: MainActivity.updateLocation
mutation-14: MainActivity.updateLocation
mutation-15: onClickShareListener.onClick
mutation-16: onClickCopyListener.onClick
mutation-17: onClickCopyListener.onClick
mutation-18: onClickCopyListener.onClick
mutation-19: MainActivity.shareLocation
mutation-20: MainActivity.shareLocation
mutation-21: MainActivity.copyLocation
mutation-22: MainActivity.copyLocation
mutation-23: MainActivity.viewLocation
mutation-24: MainActivity.viewLocation
mutation-25: MainActivity.openLocationSettings
mutation-26: MainActivity.openLocationSettings
mutation-27: MainActivity.startRequestingLocation
mutation-28: MainActivity.startRequestingLocation
mutation-29: MainActivity.startRequestingLocation
mutation-30: MainActivity.validLocation
mutation-31: MainActivity.validLocation
mutation-32: MainActivity.validLocation
mutation-33: MainActivity.validLocation
mutation-34: MainActivity.getAccuracy
mutation-35: MainActivity.getAccuracy
mutation-36: MainActivity.getAccuracy
mutation-37: MainActivity.getAccuracy
mutation-38: MainActivity.getLatitude
mutation-39: MainActivity.getLongitude
mutation-40: MainActivity.formatLocation
