In file: TimeRangeTest.java
Input operator: REACHABILITY
mutation-0: TimeRangeTest.testTimeRange
mutation-1: TimeRangeTest.testSetters
mutation-2: TimeRangeTest.testGetTotal
mutation-3: TimeRangeTest.testToString
In file: Activities.java
Input operator: REACHABILITY
mutation-4: Activities.onCreate
mutation-5: Activities.onCreate
mutation-6: Activities.onCreate
mutation-7: Activities.onCreate
mutation-8: 1.run
mutation-9: 1.run
mutation-10: Activities.onCreate
mutation-11: Activities.onCreate
mutation-12: Activities.onCreate
mutation-13: Activities.onCreate
mutation-14: Activities.onPause
mutation-15: Activities.onPause
mutation-16: Activities.onStop
mutation-17: Activities.onStop
mutation-18: Activities.onStop
mutation-19: Activities.onResume
mutation-20: Activities.onResume
mutation-21: Activities.onCreateOptionsMenu
mutation-22: Activities.onCreateContextMenu
mutation-23: Activities.onContextItemSelected
mutation-24: Activities.onContextItemSelected
mutation-25: Activities.onMenuItemSelected
mutation-26: Activities.onCreateDialog
mutation-27: Activities.onCreateDialog
mutation-28: Activities.onCreateDialog
mutation-29: Activities.onCreateDialog
mutation-30: Activities.onCreateDialog
mutation-31: Activities.perform
mutation-32: Activities.perform
mutation-33: Activities.perform
mutation-34: Activities.perform
mutation-35: Activities.perform
mutation-36: Activities.openChangeViewDialog
mutation-37: 1.onClick
mutation-38: 1.onClick
mutation-39: 1.onDateSet
mutation-40: 1.onDateSet
mutation-41: 1.onClick
mutation-42: Activities.switchView
mutation-43: Activities.setTitle
mutation-44: Activities.setTitle
mutation-45: Activities.openNewActivityDialog
mutation-46: 1.onClick
mutation-47: 1.onClick
mutation-48: Activities.openEditActivityDialog
mutation-49: Activities.openEditActivityDialog
mutation-50: 1.onClick
mutation-51: 1.onClick
mutation-52: Activities.openDeleteActivityDialog
mutation-53: Activities.openDeleteActivityDialog
mutation-54: 1.onClick
mutation-55: Activities.export
mutation-56: Activities.export
mutation-57: Activities.export
mutation-58: Activities.export
mutation-59: Activities.export
mutation-60: Activities.getRangeName
mutation-61: Activities.getRangeName
mutation-62: Activities.getVersionName
mutation-63: Activities.getVersionName
mutation-64: Activities.getVersionName
mutation-65: Activities.getVersionName
mutation-66: Activities.openAboutDialog
mutation-67: Activities.onPrepareDialog
mutation-68: Activities.requestExport
mutation-69: Activities.requestExport
mutation-70: 1.onClick
mutation-71: Activities.requestExport
mutation-72: Activities.requestBackupRestore
mutation-73: Activities.requestBackupRestore
mutation-74: 1.onClick
mutation-75: Activities.requestBackupRestore
mutation-76: Activities.requestBackupCreation
mutation-77: Activities.requestBackupCreation
mutation-78: 1.onClick
mutation-79: Activities.requestBackupCreation
mutation-80: Activities.doExport
mutation-81: Activities.doBackupRestore
mutation-82: Activities.doBackupRestore
mutation-83: Activities.doBackupRestore
mutation-84: Activities.doBackupRestore
mutation-85: Activities.doBackupRestore
mutation-86: Activities.doBackupCreation
mutation-87: Activities.doBackupCreation
mutation-88: Activities.doBackupCreation
mutation-89: Activities.doBackupCreation
mutation-90: Activities.doBackupCreation
mutation-91: Activities.doBackupCreation
mutation-92: Activities.doBackupCreation
mutation-93: Activities.doBackupCreation
mutation-94: Activities.doBackupCreation
mutation-95: Activities.doBackupCreation
mutation-96: Activities.doBackupCreation
mutation-97: Activities.doBackupCreation
mutation-98: Activities.doBackupCreation
mutation-99: Activities.onRequestPermissionsResult
mutation-100: Activities.onRequestPermissionsResult
mutation-101: Activities.onRequestPermissionsResult
mutation-102: Activities.onRequestPermissionsResult
mutation-103: ActivityView.ActivityView
mutation-104: ActivityView.setActivity
mutation-105: ActivityView.markupSelectedActivity
mutation-106: ActivityView.markupSelectedActivity
mutation-107: ActivityView.markupSelectedActivity
mutation-108: Activities.formatTotal
mutation-109: Activities.formatTotal
mutation-110: Activities.formatTotal
mutation-111: Activities.formatTotal
mutation-112: Activities.formatTotal
mutation-113: Activities.formatTotal
mutation-114: ActivityAdapter.ActivityAdapter
mutation-115: ActivityAdapter.close
mutation-116: ActivityAdapter.loadActivities
mutation-117: ActivityAdapter.loadActivity
mutation-118: ActivityAdapter.loadActivities
mutation-119: ActivityAdapter.makeWhereClause
mutation-120: ActivityAdapter.makeWhereClause
mutation-121: ActivityAdapter.makeWhereClause
mutation-122: ActivityAdapter.loadActivities
mutation-123: ActivityAdapter.loadActivities
mutation-124: ActivityAdapter.loadActivities
mutation-125: ActivityAdapter.loadActivities
mutation-126: ActivityAdapter.loadActivities
mutation-127: ActivityAdapter.loadActivities
mutation-128: ActivityAdapter.getCurrentRange
mutation-129: ActivityAdapter.getCurrentRange
mutation-130: ActivityAdapter.findCurrentlyActive
mutation-131: ActivityAdapter.findCurrentlyActive
mutation-132: ActivityAdapter.findCurrentlyActive
mutation-133: ActivityAdapter.addActivity
mutation-134: ActivityAdapter.updateActivity
