Type,Impact,Category,File,Function,Count
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/activites/ArrayAdapter.java,ArrayAdapter$ArrayFilter.performFiltering,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/contacts/ContactCreator.java,ContactCreator.addLine,5
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/PrefsManager.java,PrefsManager.getCurrentMode,5
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/PrefsManager.java,PrefsManager.getRingerAction,3
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/contacts/ContactCreator.java,ContactCreator.dumpSingle,46
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/PrefsManager.java,PrefsManager.getUserRinger,3
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/service/MuteService.java,MuteService.onSensorChanged,2
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/PrefsManager.java,PrefsManager.getLastRinger,3
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/service/MuteService.java,MuteService.doLogCycling,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/service/MuteService.java,MuteService.doLogCycling,1
Exporting a component without requiring a permission,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/AndroidManifest.xml,,1
Dereference null return value,Medium,Null pointer dereferences,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/PrefsManager.java,PrefsManager.loadSettings,1
Dereference null return value,Medium,Null pointer dereferences,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/activites/FileSystemAdapter.java,FileSystemAdapter.showFileSystem,1
Check of thread-shared field evades lock acquisition,High,Data race undermines locking,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/java/uk/co/yahoo/p1rpp/calendartrigger/activites/ArrayAdapter.java,ArrayAdapter$ArrayFilter.performFiltering,1
Android application supports unsafe SDK versions,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/AndroidManifest.xml,,1
Android application does not target the latest Android version,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/AndroidManifest.xml,,1
Android application allows backups,Low,Low impact security,/media/data/muse2/muse2repo_apk_mutation_reach_src/CalendarTrigger/app/src/main/AndroidManifest.xml,,1
