Type,Impact,Category,File,Function,Count
Very weak password hashing,High,High impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.generateCramMD5HexClientResponse,1
Very weak password hashing,High,High impact security,/src/test/java/org/apache/qpid/server/security/auth/sasl/SaslUtil.java,SaslUtil.toMD5Hashed,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/Base64MD5PasswordFilePrincipalDatabaseTest.java,Base64MD5PasswordFilePrincipalDatabaseTest.testDeletePrincipal,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithTrustAndPeerStores,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testDeletePrincipal,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithPeerStore,2
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/auth/database/PlainPasswordFilePrincipalDatabaseTest.java,PlainPasswordFilePrincipalDatabaseTest.testVerifyPassword,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidPeersOnlyTrustManager,3
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/security/NonJavaTrustStoreTest.java,NonJavaTrustStoreTest.testUseOfExpiredTrustAnchorDenied,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/model/VirtualHostTest.java,VirtualHostTest.testUpdateDeniedByACL,1
Unlogged security exception,Medium,Medium impact security,/src/test/java/org/apache/qpid/server/ssl/TrustManagerTest.java,TrustManagerTest.testQpidMultipleTrustManagerWithRegularTrustStore,1
