id	type	compilable?
atalk1	CipherInstance	y
atalk2	CipherInstance	y
atalk3	CipherInstance	n
atalk4	CipherInstance	y
atalk5	CipherInstance	y
atalk6	SSLContextInstance	y
atalk7	IvParameterSpec	y
atalk8	IvParameterSpec	y
atalk9	RandomInt	y
atalk10	RandomInt	y
atalk11	RandomInt	y
atalk12	RandomInt	n
atalk13	RandomInt	n
atalk14	RandomInt	n
atalk15	RandomInt	n
atalk16	RandomInt	y
atalk17	MessageDigest	y
atalk18	MessageDigest	y
atalk19	MessageDigest	y
atalk20	MessageDigest	y
atalk21	MessageDigest	y
atalk22	MessageDigest	y
atalk23	MessageDigest	y
atalk24	MessageDigest	y
atalk25	MessageDigest	y
atalk26	MessageDigest	y
atalk27	MessageDigest	y
atalk28	TrustManager	y
