Type,Impact,Category,File,Function,Count
Unintended regular expression,Medium,API usage errors,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/webdav/CertificateHelper.java,CertificateHelper.getShortDescription,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/MainActivity.java,MainActivity.onOptionsItemSelected,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesCarsFragment.java,PreferencesCarsFragment$CarMultiChoiceModeListener.onActionItemClicked,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesRemindersFragment.java,PreferencesRemindersFragment.onOptionsItemSelected,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesRemindersFragment.java,PreferencesRemindersFragment$ReminderMultiChoiceModeListener.onActionItemClicked,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesCarsFragment.java,PreferencesCarsFragment.onOptionsItemSelected,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesFuelTypesFragment.java,PreferencesFuelTypesFragment.onOptionsItemSelected,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/PreferencesFuelTypesFragment.java,PreferencesFuelTypesFragment$FuelTypesMultiChoiceModeListener.onActionItemClicked,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/AbstractDataListFragment.java,AbstractDataListFragment$DataModalMultiSelector.onActionItemClicked,1
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/AbstractDataDetailFragment.java,AbstractDataDetailFragment.onOptionsItemSelected,4
Structurally dead code,Medium,Control flow issues,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/full/java/me/kuehle/carreport/util/sync/provider/GoogleDriveSyncProvider.java,GoogleDriveSyncProvider.ensureSuccessfulConnect,2
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.filesUseSemicolon,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.exportOtherCosts,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/Backup.java,Backup.restore,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.exportRefuelings,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.exportCars,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.exportFuelTypes,1
Resource leak,High,Resource leaks,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/util/backup/CSVExportImport.java,CSVExportImport.exportReminders,1
Missing call to superclass,Medium,Class hierarchy inconsistencies,/media/data/muse2/muse2repo_carreport/src_code/carreport-mutant3/app/src/main/java/me/kuehle/carreport/gui/DataDetailCarFragment.java,DataDetailCarFragment.onSaveInstanceState,1
