Type,Impact,Category,File,Function,Count
Unguarded write,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.abortFilterUpdate,1
Unguarded write,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager$AutoFilterUpdater.stop,1
Unguarded write,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/AsyncBulkLogger.java,AsyncBulkLogger.enableTimestamp,1
Unguarded write,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/FileLogger.java,FileLogger.enableTimestamp,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSCommunicator.java,DNSCommunicator.getLastDNSAddress,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/conpool/Connection.java,Connection.getDestination,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSResolver.java,DNSResolver.getResolverCount,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/conpool/Connection.java,Connection.getTraffic,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateFilter,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSServer.java,DNSServer.getBufSize,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/TimoutNotificator.java,TimoutNotificator.getCurrentTime,1
Unguarded read,Medium,Concurrent data access violations,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/AsyncLogger.java,AsyncLogger.run,1
Thread deadlock,Medium,Program hangs,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/AsyncBulkLogger.java,AsyncBulkLogger.message,2
Risky cryptographic function,Medium,Medium impact security,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/Encryption.java,Encryption.init_AES,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.createDefaultConfiguration,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/BlockedHosts.java,BlockedHosts.loadPersistedIndex,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/Utils.java,Utils.copyFile,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/BlockedHosts.java,BlockedHosts.persist,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.rebuildIndex,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateFilter,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/HugePackedSet.java,HugePackedSet.persist,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/android/DNSFilterService.java,DNSFilterService$DNSReqForwarder.updateForward,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.readConfig,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateConfig,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.rebuildIndex,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/android/BootUpReceiver.java,BootUpReceiver.getConfig,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/android/DNSProxyActivity.java,DNSProxyActivity.dump,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.init,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateFilter,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.readConfig,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/remote/RemoteAccessServer.java,RemoteAccessServer.run,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/HugePackedSet.java,HugePackedSet.checkIndexVersion,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/util/PackedSortedList.java,PackedSortedList.loadinMemory,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/android/DNSFilterService.java,DNSFilterService$DNSReqForwarder.clean,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.mergeAndPersistConfig,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.getAdditionalHosts,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateIndexReloadInfoConfFile,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.copyFromAssets,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateIndexReloadInfoConfFile,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.writeDownloadInfoFile,1
Resource leak on an exceptional path,Low,Exceptional resource leaks,/media/data/muse2/muse2repo_personaldns/src_code/personaldnsfilter-mutant2/app/src/main/java/dnsfilter/DNSFilterManager.java,DNSFilterManager.updateAdditionalHosts,1
