Type,Impact,Category,File,Function,Count
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/src/main/java/org/apache/qpid/server/management/plugin/controller/v6_1/category/BrokerController.java,BrokerController.convertAttributesToNextVersion,1
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/src/test/java/org/apache/qpid/server/management/plugin/servlet/query/ConfiguredObjectQueryTest.java,ConfiguredObjectQueryTest.createCO,1
WMI: Inefficient Map Iterator,Low,SpotBugs: Performance,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/RestUserPreferenceHandler.java,RestUserPreferenceHandler.validateAndConvert,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndVisiblePreferences,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndModelObjectWithFullPath,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/AbstractLegacyConfiguredObjectControllerTest.java,AbstractLegacyConfiguredObjectControllerTest.getRequestType,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.handleGetForBrokerRootAndQueuePathWithoutQueueName,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.handleGetForBrokerRootAndQueuePathWithFilter,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getCategory,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.getCategory,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerAdapterTest.java,LatestManagementControllerAdapterTest.mockManagementRequest,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.handleGetForBrokerRootAndQueueSingletonPath,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndUserPreferences,1
Useless call,Medium,Incorrect expression,/src/test/java/org/apache/qpid/server/management/plugin/controller/latest/LatestManagementControllerTest.java,LatestManagementControllerTest.getRequestTypeForGetAndModelObjectWithNotFullPath,1
UrF: Unread field,Low,SpotBugs: Dodgy code,/src/main/java/org/apache/qpid/server/management/plugin/servlet/query/ConfiguredObjectFilterParserTokenManager.java,,1
Unsafe reflection,Low,Low impact security,/src/main/java/org/apache/qpid/server/management/plugin/report/ReportRunner.java,ReportRunner.setReportParameters,2
Unsafe deserialization,High,High impact security,/src/main/java/org/apache/qpid/server/management/plugin/servlet/rest/RestServlet.java,RestServlet$ServletManagementRequest.parse,1
Unrestricted dispatch,Medium,Medium impact security,/src/main/java/org/apache/qpid/server/management/plugin/filter/RewriteRequestForUncompressedJavascript.java,RewriteRequestForUncompressedJavascript.doFilter,1
Unintended assign to global,Medium,Incorrect expression,/target/classes/resources/js/qpid/management/VirtualHostNode.js,<anonymous>,1
UC: Useless code,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/servlet/rest/RestUserPreferenceHandlerTest.java,RestUserPreferenceHandlerTest.testDeleteByRoot,1
UC: Useless code,Low,SpotBugs: Dodgy code,/src/main/java/org/apache/qpid/server/management/plugin/filter/AuthenticationCheckFilter.java,AuthenticationCheckFilter.doFilter,1
UC: Useless code,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/servlet/rest/RestUserPreferenceHandlerTest.java,RestUserPreferenceHandlerTest.testDeleteByTypeAndName,1
UC: Useless code,Low,SpotBugs: Dodgy code,/src/test/java/org/apache/qpid/server/management/plugin/servlet/rest/RestUserPreferenceHandlerTest.java,RestUserPreferenceHandlerTest.testDeleteByType,1
Typo in identifier,Medium,Incorrect expression,/target/classes/resources/js/qpid/management/preference/PreferenceBrowserWidget.js,<anonymous>,1
